subject,attn,block,object,occluder,rep,x,y
F122,off,24,hare,complete,7,799.099975585938,602.400024414062
F122,off,24,hare,complete,8,795.700012207031,600.400024414062
F122,on,1,hare,complete,1,770.299987792969,624.099975585938
F122,on,1,hare,complete,2,784.700012207031,619.799987792969
F122,on,1,hare,complete,3,782.099975585938,632.700012207031
F122,on,1,hare,complete,4,799.599975585938,633.099975585938
F122,on,1,hare,complete,5,796.200012207031,629.200012207031
F122,on,1,hare,complete,6,800.299987792969,624.200012207031
F122,on,1,hare,complete,7,789.400024414062,635.099975585938
F122,on,1,hare,complete,8,783.099975585938,633.400024414062
F122,on,2,hare,upper,1,787.799987792969,621.700012207031
F122,on,2,hare,upper,2,795.5,618.799987792969
F122,on,2,hare,upper,3,792.799987792969,616.900024414062
F122,on,2,hare,upper,4,786.299987792969,620.299987792969
F122,on,2,hare,upper,5,784.5,620.299987792969
F122,on,2,hare,upper,6,782.900024414062,617.700012207031
F122,on,2,hare,upper,7,781.700012207031,623.900024414062
F122,on,2,hare,upper,8,781,623.299987792969
F122,on,3,sportsCar,complete,1,758.799987792969,620
F122,on,3,sportsCar,complete,2,766.900024414062,616.900024414062
F122,on,3,sportsCar,complete,3,772.700012207031,619.700012207031
F122,on,3,sportsCar,complete,4,774.099975585938,621.900024414062
F122,on,3,sportsCar,complete,5,772.200012207031,626.799987792969
F122,on,3,sportsCar,complete,6,NaN,NaN
F122,on,3,sportsCar,complete,7,772,632.700012207031
F122,on,3,sportsCar,complete,8,776.700012207031,631.099975585938
F122,on,4,lamp,upper,1,780,641.599975585938
F122,on,4,lamp,upper,2,784.099975585938,642.099975585938
F122,on,4,lamp,upper,3,789.200012207031,631.099975585938
F122,on,4,lamp,upper,4,789.200012207031,634.900024414062
F122,on,4,lamp,upper,5,779.400024414062,639.700012207031
F122,on,4,lamp,upper,6,774,640.099975585938
F122,on,4,lamp,upper,7,771.200012207031,638
F122,on,4,lamp,upper,8,781.700012207031,638.200012207031
F122,on,5,teapot,complete,1,768.299987792969,632.799987792969
F122,on,5,teapot,complete,2,768.400024414062,627.200012207031
F122,on,5,teapot,complete,3,764.900024414062,622.799987792969
F122,on,5,teapot,complete,4,760.700012207031,620.900024414062
F122,on,5,teapot,complete,5,759,626.299987792969
F122,on,5,teapot,complete,6,764.599975585938,620.200012207031
F122,on,5,teapot,complete,7,767.400024414062,629.799987792969
F122,on,5,teapot,complete,8,766.099975585938,628.099975585938
F122,on,6,teapot,lower,1,779.799987792969,628.700012207031
F122,on,6,teapot,lower,2,784.299987792969,620.900024414062
F122,on,6,teapot,lower,3,781,620.400024414062
F122,on,6,teapot,lower,4,787.200012207031,622.099975585938
F122,on,6,teapot,lower,5,788.200012207031,624.799987792969
F122,on,6,teapot,lower,6,812.599975585938,605.900024414062
F122,on,6,teapot,lower,7,800.900024414062,618
F122,on,6,teapot,lower,8,798.200012207031,600.200012207031
F122,on,7,bison,upper,1,771.200012207031,638.5
F122,on,7,bison,upper,2,669.400024414062,610.799987792969
F122,on,7,bison,upper,3,823.5,691.400024414062
F122,on,7,bison,upper,4,731.200012207031,551.799987792969
F122,on,7,bison,upper,5,792.599975585938,624.700012207031
F122,on,7,bison,upper,6,798.099975585938,632.900024414062
F122,on,7,bison,upper,7,789.099975585938,632.099975585938
F122,on,7,bison,upper,8,785,640.599975585938
F122,on,8,bison,lower,1,763.799987792969,634.099975585938
F122,on,8,bison,lower,2,771.599975585938,627.599975585938
F122,on,8,bison,lower,3,769.299987792969,634
F122,on,8,bison,lower,4,776.5,627.299987792969
F122,on,8,bison,lower,5,776.400024414062,621.700012207031
F122,on,8,bison,lower,6,781.700012207031,624
F122,on,8,bison,lower,7,779.900024414062,627.799987792969
F122,on,8,bison,lower,8,781,639.099975585938
F122,on,9,bison,complete,1,787.299987792969,631.099975585938
F122,on,9,bison,complete,2,788.900024414062,629.200012207031
F122,on,9,bison,complete,3,781.799987792969,634.099975585938
F122,on,9,bison,complete,4,801.599975585938,727.299987792969
F122,on,9,bison,complete,5,785.5,631.099975585938
F122,on,9,bison,complete,6,772.400024414062,624.799987792969
F122,on,9,bison,complete,7,772.400024414062,618.200012207031
F122,on,9,bison,complete,8,NaN,NaN
F122,on,10,jeep,complete,1,771.099975585938,633.200012207031
F122,on,10,jeep,complete,2,774.599975585938,634.400024414062
F122,on,10,jeep,complete,3,772.900024414062,631.700012207031
F122,on,10,jeep,complete,4,770.200012207031,643.599975585938
F122,on,10,jeep,complete,5,770.599975585938,632.200012207031
F122,on,10,jeep,complete,6,765.700012207031,634.200012207031
F122,on,10,jeep,complete,7,NaN,NaN
F122,on,10,jeep,complete,8,772.200012207031,639.900024414062
F122,on,11,sportsCar,lower,1,762.299987792969,641.200012207031
F122,on,11,sportsCar,lower,2,769.299987792969,625.799987792969
F122,on,11,sportsCar,lower,3,770.900024414062,628.900024414062
F122,on,11,sportsCar,lower,4,772.400024414062,626.099975585938
F122,on,11,sportsCar,lower,5,779.099975585938,619.5
F122,on,11,sportsCar,lower,6,774,624.200012207031
F122,on,11,sportsCar,lower,7,769.099975585938,620.200012207031
F122,on,11,sportsCar,lower,8,772,620.900024414062
F122,on,12,lamp,complete,1,775.200012207031,646.200012207031
F122,on,12,lamp,complete,2,780.099975585938,640.599975585938
F122,on,12,lamp,complete,3,777.799987792969,635.200012207031
F122,on,12,lamp,complete,4,NaN,NaN
F122,on,12,lamp,complete,5,792,635.5
F122,on,12,lamp,complete,6,775.599975585938,645.599975585938
F122,on,12,lamp,complete,7,772,631
F122,on,12,lamp,complete,8,778.5,635.400024414062
F122,on,13,bear,lower,1,764.5,637.799987792969
F122,on,13,bear,lower,2,765.799987792969,633.200012207031
F122,on,13,bear,lower,3,771.400024414062,639.5
F122,on,13,bear,lower,4,795.5,621.599975585938
F122,on,13,bear,lower,5,693.599975585938,587
F122,on,13,bear,lower,6,684.200012207031,587
F122,on,13,bear,lower,7,775.799987792969,631.400024414062
F122,on,13,bear,lower,8,777.599975585938,636.200012207031
F122,on,14,jeep,lower,1,783.799987792969,630.599975585938
F122,on,14,jeep,lower,2,780.5,630.599975585938
F122,on,14,jeep,lower,3,779.599975585938,619.5
F122,on,14,jeep,lower,4,780.099975585938,622.400024414062
F122,on,14,jeep,lower,5,774.299987792969,621.5
F122,on,14,jeep,lower,6,773.599975585938,622.900024414062
F122,on,14,jeep,lower,7,782.400024414062,616.400024414062
F122,on,14,jeep,lower,8,788.099975585938,628.099975585938
F122,on,15,lamp,lower,1,763.299987792969,636.799987792969
F122,on,15,lamp,lower,2,767.700012207031,639.599975585938
F122,on,15,lamp,lower,3,773.599975585938,634.400024414062
F122,on,15,lamp,lower,4,775.400024414062,633.200012207031
F122,on,15,lamp,lower,5,778.299987792969,642.099975585938
F122,on,15,lamp,lower,6,778.099975585938,640.599975585938
F122,on,15,lamp,lower,7,777.599975585938,639.900024414062
F122,on,15,lamp,lower,8,773.299987792969,633.700012207031
F122,on,16,teapot,upper,1,773.700012207031,659.299987792969
F122,on,16,teapot,upper,2,778.799987792969,656.200012207031
F122,on,16,teapot,upper,3,787.599975585938,640.400024414062
F122,on,16,teapot,upper,4,784.200012207031,637.200012207031
F122,on,16,teapot,upper,5,785.200012207031,633.299987792969
F122,on,16,teapot,upper,6,777.299987792969,633.599975585938
F122,on,16,teapot,upper,7,777.900024414062,632
F122,on,16,teapot,upper,8,778.900024414062,636.900024414062
F122,on,17,elephant,upper,1,781.299987792969,643.200012207031
F122,on,17,elephant,upper,2,786.799987792969,644.799987792969
F122,on,17,elephant,upper,3,790.5,641
F122,on,17,elephant,upper,4,784.400024414062,636.200012207031
F122,on,17,elephant,upper,5,776,635.400024414062
F122,on,17,elephant,upper,6,774.900024414062,635.900024414062
F122,on,17,elephant,upper,7,772.900024414062,640.5
F122,on,17,elephant,upper,8,768.799987792969,638.099975585938
F122,on,18,hare,lower,1,773.299987792969,635.5
F122,on,18,hare,lower,2,792.099975585938,635
