analysis,level,similarity,sem,rf_size,vis_ang,fix_std,num_units
object_completion,EsU1,,,1.48,1.6441655512021094,0.75,103500
object_completion,EdUb,,,1.48,1.6441655512021094,0.75,103500
object_completion,EdU1,,,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EsOs,,,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EsOd,,,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EdOs,,,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EdOd,,,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EsUb,0.7518189018191115,0.03355267311616272,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EsU1,0.49671056500808514,0.06348055898270213,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EdUb,-0.0012222309688175535,0.021274336216484686,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,EdU1,-0.14192142243876985,0.01429428577342366,1.48,1.6441655512021094,0.75,103500
object_completion,EsOs,0.5738420691273152,0.05038506896536129,2.22,0.9970737470655973,0.75,103880
object_completion,EsOd,0.4937250225593338,0.05001592048634182,2.22,0.9970737470655973,0.75,103880
object_completion,EdOs,-0.02698608206574099,0.020811116426999555,2.22,0.9970737470655973,0.75,103880
object_completion,EdOd,-0.0685330109291798,0.020255369289422512,2.22,0.9970737470655973,0.75,103880
object_completion,EsUb,,,2.22,0.9970737470655973,0.75,103880
object_completion,EsU1,,,2.22,0.9970737470655973,0.75,103880
object_completion,EdUb,,,2.22,0.9970737470655973,0.75,103880
object_completion,EdU1,,,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EsOs,,,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EsOd,,,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EdOs,,,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EdOd,,,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EsUb,0.7026255808780533,0.040880478664387,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EsU1,0.5613847401832073,0.052338321663103,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EdUb,-0.06586678374552231,0.015613083316245491,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,EdU1,-0.10082279772326208,0.016025700069489026,2.22,0.9970737470655973,0.75,103880
